Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity,TimeDelta
111,2024-06-14 19:08:15,0.001,2024,6,14,19,8,15,0 days 00:47:08,0.0,0.0
111,2024-06-14 19:08:16,5.208,2024,6,14,19,8,16,,0.001447,1.0
111,2024-06-14 19:08:17,5.208,2024,6,14,19,8,17,,0.002893,1.0
111,2024-06-14 19:08:18,5.208,2024,6,14,19,8,18,,0.00434,1.0
111,2024-06-14 19:08:19,5.207,2024,6,14,19,8,19,,0.005786,1.0
111,2024-06-14 19:08:20,5.2090000000000005,2024,6,14,19,8,20,,0.007233,1.0
111,2024-06-14 19:08:21,5.208,2024,6,14,19,8,21,,0.00868,1.0
111,2024-06-14 19:08:22,5.208,2024,6,14,19,8,22,,0.010127,1.0
111,2024-06-14 19:08:23,5.208,2024,6,14,19,8,23,,0.011573,1.0
111,2024-06-14 19:08:24,5.208,2024,6,14,19,8,24,,0.01302,1.0
111,2024-06-14 19:08:25,5.208,2024,6,14,19,8,25,,0.014467,1.0
111,2024-06-14 19:08:26,5.208,2024,6,14,19,8,26,,0.015913,1.0
111,2024-06-14 19:08:27,5.207,2024,6,14,19,8,27,,0.01736,1.0
111,2024-06-14 19:08:28,5.208,2024,6,14,19,8,28,,0.018806,1.0
111,2024-06-14 19:08:29,5.207,2024,6,14,19,8,29,,0.020253,1.0
111,2024-06-14 19:08:30,5.208,2024,6,14,19,8,30,,0.021699,1.0
111,2024-06-14 19:08:31,5.208,2024,6,14,19,8,31,,0.023146,1.0
111,2024-06-14 19:08:32,5.208,2024,6,14,19,8,32,,0.024593,1.0
111,2024-06-14 19:08:33,5.208,2024,6,14,19,8,33,,0.026039,1.0
111,2024-06-14 19:08:34,5.208,2024,6,14,19,8,34,,0.027486,1.0
111,2024-06-14 19:08:35,5.208,2024,6,14,19,8,35,,0.028933,1.0
111,2024-06-14 19:08:36,5.208,2024,6,14,19,8,36,,0.030379,1.0
111,2024-06-14 19:08:37,5.208,2024,6,14,19,8,37,,0.031826,1.0
111,2024-06-14 19:08:38,5.208,2024,6,14,19,8,38,,0.033273,1.0
111,2024-06-14 19:08:39,5.208,2024,6,14,19,8,39,,0.034719,1.0
111,2024-06-14 19:08:40,5.208,2024,6,14,19,8,40,,0.036166,1.0
111,2024-06-14 19:08:41,5.208,2024,6,14,19,8,41,,0.037613,1.0
111,2024-06-14 19:08:42,5.208,2024,6,14,19,8,42,,0.039059,1.0
111,2024-06-14 19:08:43,5.208,2024,6,14,19,8,43,,0.040506,1.0
111,2024-06-14 19:08:44,5.208,2024,6,14,19,8,44,,0.041953,1.0
111,2024-06-14 19:08:45,5.208,2024,6,14,19,8,45,,0.043399,1.0
111,2024-06-14 19:08:46,5.208,2024,6,14,19,8,46,,0.044846,1.0
111,2024-06-14 19:08:47,5.208,2024,6,14,19,8,47,,0.046293,1.0
111,2024-06-14 19:08:48,5.208,2024,6,14,19,8,48,,0.047739,1.0
111,2024-06-14 19:08:49,5.208,2024,6,14,19,8,49,,0.049186,1.0
111,2024-06-14 19:08:50,5.2090000000000005,2024,6,14,19,8,50,,0.050633,1.0
111,2024-06-14 19:08:51,5.208,2024,6,14,19,8,51,,0.05208,1.0
111,2024-06-14 19:08:52,5.208,2024,6,14,19,8,52,,0.053526,1.0
111,2024-06-14 19:08:53,5.208,2024,6,14,19,8,53,,0.054973,1.0
111,2024-06-14 19:08:54,5.208,2024,6,14,19,8,54,,0.05642,1.0
111,2024-06-14 19:08:55,5.208,2024,6,14,19,8,55,,0.057866,1.0
111,2024-06-14 19:08:56,5.208,2024,6,14,19,8,56,,0.059313,1.0
111,2024-06-14 19:08:57,5.208,2024,6,14,19,8,57,,0.06076,1.0
111,2024-06-14 19:08:58,5.208,2024,6,14,19,8,58,,0.062206,1.0
