Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time
111,2024-08-19 15:35:19,0.005,2024,08,19,15,35,19,0 days 01:23:00
111,2024-08-19 15:35:20,5.23,2024,08,19,15,35,20,
111,2024-08-19 15:35:21,5.231,2024,08,19,15,35,21,
111,2024-08-19 15:35:22,5.232,2024,08,19,15,35,22,
111,2024-08-19 15:35:23,5.232,2024,08,19,15,35,23,
111,2024-08-19 15:35:24,5.232,2024,08,19,15,35,24,
111,2024-08-19 15:35:25,5.233,2024,08,19,15,35,25,
111,2024-08-19 15:35:26,5.233,2024,08,19,15,35,26,
111,2024-08-19 15:35:27,5.232,2024,08,19,15,35,27,
111,2024-08-19 15:35:28,5.233,2024,08,19,15,35,28,
111,2024-08-19 15:35:29,5.233,2024,08,19,15,35,29,
111,2024-08-19 15:35:30,5.233,2024,08,19,15,35,30,
111,2024-08-19 15:35:31,5.233,2024,08,19,15,35,31,
111,2024-08-19 15:35:32,5.233,2024,08,19,15,35,32,
111,2024-08-19 15:35:33,5.232,2024,08,19,15,35,33,
111,2024-08-19 15:35:34,5.233,2024,08,19,15,35,34,
111,2024-08-19 15:35:35,5.233,2024,08,19,15,35,35,
111,2024-08-19 15:35:36,5.233,2024,08,19,15,35,36,
111,2024-08-19 15:35:37,5.233,2024,08,19,15,35,37,
111,2024-08-19 15:35:38,5.233,2024,08,19,15,35,38,
111,2024-08-19 15:35:39,5.232,2024,08,19,15,35,39,
111,2024-08-19 15:35:40,5.233,2024,08,19,15,35,40,
111,2024-08-19 15:35:41,5.233,2024,08,19,15,35,41,
111,2024-08-19 15:35:42,5.233,2024,08,19,15,35,42,
111,2024-08-19 15:35:43,5.233,2024,08,19,15,35,43,
111,2024-08-19 15:35:44,5.233,2024,08,19,15,35,44,
111,2024-08-19 15:35:45,5.233,2024,08,19,15,35,45,
111,2024-08-19 15:35:46,5.233,2024,08,19,15,35,46,
111,2024-08-19 15:35:47,5.233,2024,08,19,15,35,47,
111,2024-08-19 15:35:48,5.233,2024,08,19,15,35,48,
111,2024-08-19 15:35:49,5.232,2024,08,19,15,35,49,
111,2024-08-19 15:35:50,5.233,2024,08,19,15,35,50,
111,2024-08-19 15:35:51,5.233,2024,08,19,15,35,51,
111,2024-08-19 15:35:52,5.233,2024,08,19,15,35,52,
111,2024-08-19 15:35:53,5.233,2024,08,19,15,35,53,
111,2024-08-19 15:35:54,5.233,2024,08,19,15,35,54,
111,2024-08-19 15:35:55,5.233,2024,08,19,15,35,55,
111,2024-08-19 15:35:56,5.233,2024,08,19,15,35,56,
111,2024-08-19 15:35:57,5.233,2024,08,19,15,35,57,
111,2024-08-19 15:35:58,5.233,2024,08,19,15,35,58,
111,2024-08-19 15:35:59,5.233,2024,08,19,15,35,59,
111,2024-08-19 15:36:00,5.233,2024,08,19,15,36,0,
111,2024-08-19 15:36:01,5.233,2024,08,19,15,36,1,
111,2024-08-19 15:36:02,5.233,2024,08,19,15,36,2,
111,2024-08-19 15:36:03,5.233,2024,08,19,15,36,3,
111,2024-08-19 15:36:04,5.233,2024,08,19,15,36,4,
111,2024-08-19 15:36:05,5.233,2024,08,19,15,36,5,
111,2024-08-19 15:36:06,5.233,2024,08,19,15,36,6,
111,2024-08-19 15:36:07,5.233,2024,08,19,15,36,7,
111,2024-08-19 15:36:08,5.233,2024,08,19,15,36,8,
111,2024-08-19 15:36:09,5.233,2024,08,19,15,36,9,
111,2024-08-19 15:36:10,5.233,2024,08,19,15,36,10,
111,2024-08-19 15:36:11,5.233,2024,08,19,15,36,11,
111,2024-08-19 15:36:12,5.232,2024,08,19,15,36,12,
111,2024-08-19 15:36:13,5.233,2024,08,19,15,36,13,
111,2024-08-19 15:36:14,5.233,2024,08,19,15,36,14,
111,2024-08-19 15:36:15,5.233,2024,08,19,15,36,15,
111,2024-08-19 15:36:16,5.232,2024,08,19,15,36,16,
111,2024-08-19 15:36:17,5.233,2024,08,19,15,36,17,
111,2024-08-19 15:36:18,5.232,2024,08,19,15,36,18,
111,2024-08-19 15:36:19,5.234,2024,08,19,15,36,19,
111,2024-08-19 15:36:20,5.233,2024,08,19,15,36,20,
111,2024-08-19 15:36:21,5.232,2024,08,19,15,36,21,
111,2024-08-19 15:36:22,5.233,2024,08,19,15,36,22,
111,2024-08-19 15:36:23,5.232,2024,08,19,15,36,23,
111,2024-08-19 15:36:24,5.233,2024,08,19,15,36,24,
111,2024-08-19 15:36:25,5.233,2024,08,19,15,36,25,
111,2024-08-19 15:36:26,5.233,2024,08,19,15,36,26,
111,2024-08-19 15:36:27,5.233,2024,08,19,15,36,27,
111,2024-08-19 15:36:28,5.233,2024,08,19,15,36,28,
111,2024-08-19 15:36:29,5.233,2024,08,19,15,36,29,
111,2024-08-19 15:36:30,5.233,2024,08,19,15,36,30,
111,2024-08-19 15:36:31,5.233,2024,08,19,15,36,31,
111,2024-08-19 15:36:32,5.233,2024,08,19,15,36,32,
111,2024-08-19 15:36:33,5.233,2024,08,19,15,36,33,
111,2024-08-19 15:36:34,5.233,2024,08,19,15,36,34,
111,2024-08-19 15:36:35,5.232,2024,08,19,15,36,35,
111,2024-08-19 15:36:36,5.233,2024,08,19,15,36,36,
111,2024-08-19 15:36:37,5.233,2024,08,19,15,36,37,
111,2024-08-19 15:36:38,5.233,2024,08,19,15,36,38,
111,2024-08-19 15:36:39,5.233,2024,08,19,15,36,39,
111,2024-08-19 15:36:40,5.233,2024,08,19,15,36,40,
111,2024-08-19 15:36:41,5.232,2024,08,19,15,36,41,
111,2024-08-19 15:36:42,5.233,2024,08,19,15,36,42,
111,2024-08-19 15:36:43,5.233,2024,08,19,15,36,43,
111,2024-08-19 15:36:44,5.233,2024,08,19,15,36,44,
111,2024-08-19 15:36:45,5.233,2024,08,19,15,36,45,
111,2024-08-19 15:36:46,5.233,2024,08,19,15,36,46,
111,2024-08-19 15:36:47,5.233,2024,08,19,15,36,47,
111,2024-08-19 15:36:48,5.233,2024,08,19,15,36,48,
111,2024-08-19 15:36:49,5.233,2024,08,19,15,36,49,
111,2024-08-19 15:36:50,5.233,2024,08,19,15,36,50,
111,2024-08-19 15:36:51,5.233,2024,08,19,15,36,51,
111,2024-08-19 15:36:52,5.233,2024,08,19,15,36,52,
111,2024-08-19 15:36:53,5.233,2024,08,19,15,36,53,
111,2024-08-19 15:36:54,5.233,2024,08,19,15,36,54,
111,2024-08-19 15:36:55,5.233,2024,08,19,15,36,55,
111,2024-08-19 15:36:56,5.233,2024,08,19,15,36,56,
111,2024-08-19 15:36:57,5.233,2024,08,19,15,36,57,
111,2024-08-19 15:36:58,5.233,2024,08,19,15,36,58,
111,2024-08-19 15:36:59,5.233,2024,08,19,15,36,59,
111,2024-08-19 15:37:00,5.233,2024,08,19,15,37,0,
111,2024-08-19 15:37:01,5.233,2024,08,19,15,37,1,
111,2024-08-19 15:37:02,5.233,2024,08,19,15,37,2,
111,2024-08-19 15:37:03,5.233,2024,08,19,15,37,3,
111,2024-08-19 15:37:04,5.233,2024,08,19,15,37,4,
111,2024-08-19 15:37:05,5.233,2024,08,19,15,37,5,
111,2024-08-19 15:37:06,5.233,2024,08,19,15,37,6,
111,2024-08-19 15:37:07,5.233,2024,08,19,15,37,7,
111,2024-08-19 15:37:08,5.233,2024,08,19,15,37,8,
