Channel_x,Timestamp,Voltage,Year_x,Month_x,Day_x,Hour_x,Minute_x,Second_x,Total_time_x,Channel_y,Current,Year_y,Month_y,Day_y,Hour_y,Minute_y,Second_y,Total_time_y,Capacity,Power,TimeDelta
101,2024-07-20 17:14:27,4.195373,2024,7,20,17,14,27,0 days 00:05:13,,,,,,,,,,,,0.0
101,2024-07-20 17:14:28,3.938883,2024,7,20,17,14,28,,111.0,0.002,2024.0,7.0,20.0,17.0,14.0,28.0,0 days 00:05:12,0.0005555555555555556,0.007877766,1.0
101,2024-07-20 17:14:29,3.929952,2024,7,20,17,14,29,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,29.0,,5.062777777777778,71.619445248,1.0
101,2024-07-20 17:14:30,3.922952,2024,7,20,17,14,30,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,30.0,,10.124722222222221,71.487954296,1.0
101,2024-07-20 17:14:31,3.917113,2024,7,20,17,14,31,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,31.0,,15.186666666666666,71.381550199,1.0
101,2024-07-20 17:14:32,3.912117,2024,7,20,17,14,32,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,32.0,,20.24861111111111,71.29050809099999,1.0
101,2024-07-20 17:14:33,3.907751,2024,7,20,17,14,33,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,33.0,,25.31083333333333,71.214854224,1.0
101,2024-07-20 17:14:34,3.903906,2024,7,20,17,14,34,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,34.0,,30.372777777777777,71.140879038,1.0
101,2024-07-20 17:14:35,3.900462,2024,7,20,17,14,35,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,35.0,,35.43472222222222,71.078119026,1.0
101,2024-07-20 17:14:36,3.897366,2024,7,20,17,14,36,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,36.0,,40.49666666666667,71.021700618,1.0
101,2024-07-20 17:14:37,3.894536,2024,7,20,17,14,37,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,37.0,,45.55861111111112,70.970129528,1.0
101,2024-07-20 17:14:38,3.891957,2024,7,20,17,14,38,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,38.0,,50.62055555555556,70.923132411,1.0
101,2024-07-20 17:14:39,3.88956,2024,7,20,17,14,39,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,39.0,,55.68250000000001,70.87945187999999,1.0
101,2024-07-20 17:14:40,3.887342,2024,7,20,17,14,40,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,40.0,,60.74444444444446,70.83903326599999,1.0
101,2024-07-20 17:14:41,3.88527,2024,7,20,17,14,41,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,41.0,,65.80666666666669,70.80516048,1.0
101,2024-07-20 17:14:42,3.883317,2024,7,20,17,14,42,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,42.0,,70.8688888888889,70.769569008,1.0
101,2024-07-20 17:14:43,3.881475,2024,7,20,17,14,43,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,43.0,,75.93083333333335,70.732118925,1.0
101,2024-07-20 17:14:44,3.87972,2024,7,20,17,14,44,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,44.0,,80.99305555555557,70.70401728,1.0
101,2024-07-20 17:14:45,3.878054,2024,7,20,17,14,45,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,45.0,,86.05500000000002,70.669778042,1.0
101,2024-07-20 17:14:46,3.876453,2024,7,20,17,14,46,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,46.0,,91.11694444444446,70.640603019,1.0
101,2024-07-20 17:14:47,3.874918,2024,7,20,17,14,47,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,47.0,,96.1788888888889,70.61263071399999,1.0
101,2024-07-20 17:14:48,3.873433,2024,7,20,17,14,48,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,48.0,,101.24083333333336,70.58556955899999,1.0
101,2024-07-20 17:14:49,3.871994,2024,7,20,17,14,49,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,49.0,,106.30305555555557,70.563218656,1.0
101,2024-07-20 17:14:50,3.870593,2024,7,20,17,14,50,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,50.0,,111.36527777777779,70.537686832,1.0
101,2024-07-20 17:14:51,3.869237,2024,7,20,17,14,51,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,51.0,,116.42750000000001,70.512975088,1.0
101,2024-07-20 17:14:52,3.867906,2024,7,20,17,14,52,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,52.0,,121.48972222222224,70.488718944,1.0
101,2024-07-20 17:14:53,3.866602,2024,7,20,17,14,53,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,53.0,,126.55194444444446,70.464954848,1.0
101,2024-07-20 17:14:54,3.865332,2024,7,20,17,14,54,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,54.0,,131.61416666666668,70.441810368,1.0
101,2024-07-20 17:14:55,3.864075,2024,7,20,17,14,55,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,55.0,,136.67638888888888,70.4189028,1.0
101,2024-07-20 17:14:56,3.862854,2024,7,20,17,14,56,,111.0,18.224,2024.0,7.0,20.0,17.0,14.0,56.0,,141.7386111111111,70.396651296,1.0
101,2024-07-20 17:14:57,3.861642,2024,7,20,17,14,57,,111.0,18.223,2024.0,7.0,20.0,17.0,14.0,57.0,,146.80055555555555,70.37070216599999,1.0
