Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time
111,2024-06-25 09:28:54,0.003,2024,06,25,09,28,54,0 days 05:39:48
111,2024-06-25 09:28:55,5.21,2024,06,25,09,28,55,
111,2024-06-25 09:28:56,5.21,2024,06,25,09,28,56,
111,2024-06-25 09:28:57,5.211,2024,06,25,09,28,57,
111,2024-06-25 09:28:58,5.211,2024,06,25,09,28,58,
111,2024-06-25 09:28:59,5.211,2024,06,25,09,28,59,
111,2024-06-25 09:29:00,5.211,2024,06,25,09,29,0,
111,2024-06-25 09:29:01,5.21,2024,06,25,09,29,1,
111,2024-06-25 09:29:02,5.21,2024,06,25,09,29,2,
111,2024-06-25 09:29:03,5.21,2024,06,25,09,29,3,
111,2024-06-25 09:29:04,5.21,2024,06,25,09,29,4,
111,2024-06-25 09:29:05,5.21,2024,06,25,09,29,5,
111,2024-06-25 09:29:06,5.21,2024,06,25,09,29,6,
111,2024-06-25 09:29:07,5.21,2024,06,25,09,29,7,
111,2024-06-25 09:29:08,5.21,2024,06,25,09,29,8,
111,2024-06-25 09:29:09,5.21,2024,06,25,09,29,9,
111,2024-06-25 09:29:10,5.21,2024,06,25,09,29,10,
111,2024-06-25 09:29:11,5.21,2024,06,25,09,29,11,
111,2024-06-25 09:29:12,5.21,2024,06,25,09,29,12,
111,2024-06-25 09:29:13,5.21,2024,06,25,09,29,13,
111,2024-06-25 09:29:14,5.21,2024,06,25,09,29,14,
111,2024-06-25 09:29:15,5.21,2024,06,25,09,29,15,
111,2024-06-25 09:29:16,5.21,2024,06,25,09,29,16,
111,2024-06-25 09:29:17,5.21,2024,06,25,09,29,17,
111,2024-06-25 09:29:18,5.21,2024,06,25,09,29,18,
111,2024-06-25 09:29:19,5.21,2024,06,25,09,29,19,
111,2024-06-25 09:29:20,5.21,2024,06,25,09,29,20,
111,2024-06-25 09:29:21,5.21,2024,06,25,09,29,21,
111,2024-06-25 09:29:22,5.21,2024,06,25,09,29,22,
111,2024-06-25 09:29:23,5.21,2024,06,25,09,29,23,
111,2024-06-25 09:29:24,5.21,2024,06,25,09,29,24,
111,2024-06-25 09:29:25,0.004,2024,06,25,09,29,25,
111,2024-06-25 09:29:26,0.004,2024,06,25,09,29,26,
111,2024-06-25 09:29:27,0.004,2024,06,25,09,29,27,
111,2024-06-25 09:29:28,0.004,2024,06,25,09,29,28,
111,2024-06-25 09:29:29,0.004,2024,06,25,09,29,29,
111,2024-06-25 09:29:30,0.004,2024,06,25,09,29,30,
111,2024-06-25 09:29:31,0.005,2024,06,25,09,29,31,
111,2024-06-25 09:29:32,0.004,2024,06,25,09,29,32,
