Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity
111,2024-07-20 15:26:40,0.002,2024,07,20,15,26,40,0 days 00:05:05,1.5419444444444446
111,2024-07-20 15:26:41,18.223,2024,07,20,15,26,41,,
111,2024-07-20 15:26:42,18.223,2024,07,20,15,26,42,,
111,2024-07-20 15:26:43,18.222,2024,07,20,15,26,43,,
111,2024-07-20 15:26:44,18.222,2024,07,20,15,26,44,,
111,2024-07-20 15:26:45,18.222,2024,07,20,15,26,45,,
111,2024-07-20 15:26:46,18.222,2024,07,20,15,26,46,,
111,2024-07-20 15:26:47,18.222,2024,07,20,15,26,47,,
111,2024-07-20 15:26:48,18.222,2024,07,20,15,26,48,,
111,2024-07-20 15:26:49,18.223,2024,07,20,15,26,49,,
111,2024-07-20 15:26:50,18.222,2024,07,20,15,26,50,,
111,2024-07-20 15:26:51,18.223,2024,07,20,15,26,51,,
111,2024-07-20 15:26:52,18.222,2024,07,20,15,26,52,,
111,2024-07-20 15:26:53,18.222,2024,07,20,15,26,53,,
111,2024-07-20 15:26:54,18.222,2024,07,20,15,26,54,,
111,2024-07-20 15:26:55,18.222,2024,07,20,15,26,55,,
111,2024-07-20 15:26:56,18.221,2024,07,20,15,26,56,,
111,2024-07-20 15:26:57,18.222,2024,07,20,15,26,57,,
111,2024-07-20 15:26:58,18.222,2024,07,20,15,26,58,,
111,2024-07-20 15:26:59,18.222,2024,07,20,15,26,59,,
111,2024-07-20 15:27:00,18.222,2024,07,20,15,27,0,,
111,2024-07-20 15:27:01,18.222,2024,07,20,15,27,1,,
111,2024-07-20 15:27:02,18.222,2024,07,20,15,27,2,,
111,2024-07-20 15:27:03,18.222,2024,07,20,15,27,3,,
111,2024-07-20 15:27:04,18.223,2024,07,20,15,27,4,,
111,2024-07-20 15:27:05,18.222,2024,07,20,15,27,5,,
111,2024-07-20 15:27:06,18.223,2024,07,20,15,27,6,,
111,2024-07-20 15:27:07,18.222,2024,07,20,15,27,7,,
111,2024-07-20 15:27:08,18.222,2024,07,20,15,27,8,,
111,2024-07-20 15:27:09,18.222,2024,07,20,15,27,9,,
111,2024-07-20 15:27:10,18.222,2024,07,20,15,27,10,,
111,2024-07-20 15:27:11,18.223,2024,07,20,15,27,11,,
111,2024-07-20 15:27:12,18.222,2024,07,20,15,27,12,,
111,2024-07-20 15:27:13,18.222,2024,07,20,15,27,13,,
111,2024-07-20 15:27:14,18.222,2024,07,20,15,27,14,,
111,2024-07-20 15:27:15,18.223,2024,07,20,15,27,15,,
111,2024-07-20 15:27:16,18.222,2024,07,20,15,27,16,,
111,2024-07-20 15:27:17,18.222,2024,07,20,15,27,17,,
111,2024-07-20 15:27:18,18.223,2024,07,20,15,27,18,,
111,2024-07-20 15:27:19,18.222,2024,07,20,15,27,19,,
111,2024-07-20 15:27:20,18.223,2024,07,20,15,27,20,,
111,2024-07-20 15:27:21,18.223,2024,07,20,15,27,21,,
111,2024-07-20 15:27:22,18.222,2024,07,20,15,27,22,,
111,2024-07-20 15:27:23,18.222,2024,07,20,15,27,23,,
111,2024-07-20 15:27:24,18.222,2024,07,20,15,27,24,,
111,2024-07-20 15:27:25,18.223,2024,07,20,15,27,25,,
111,2024-07-20 15:27:26,18.223,2024,07,20,15,27,26,,
111,2024-07-20 15:27:27,18.223,2024,07,20,15,27,27,,
111,2024-07-20 15:27:28,18.223,2024,07,20,15,27,28,,
111,2024-07-20 15:27:29,18.223,2024,07,20,15,27,29,,
111,2024-07-20 15:27:30,18.223,2024,07,20,15,27,30,,
111,2024-07-20 15:27:31,18.223,2024,07,20,15,27,31,,
111,2024-07-20 15:27:32,18.223,2024,07,20,15,27,32,,
111,2024-07-20 15:27:33,18.223,2024,07,20,15,27,33,,
111,2024-07-20 15:27:34,18.223,2024,07,20,15,27,34,,
111,2024-07-20 15:27:35,18.223,2024,07,20,15,27,35,,
111,2024-07-20 15:27:36,18.223,2024,07,20,15,27,36,,
111,2024-07-20 15:27:37,18.223,2024,07,20,15,27,37,,
111,2024-07-20 15:27:38,18.223,2024,07,20,15,27,38,,
111,2024-07-20 15:27:39,18.223,2024,07,20,15,27,39,,
111,2024-07-20 15:27:40,18.223,2024,07,20,15,27,40,,
111,2024-07-20 15:27:41,18.223,2024,07,20,15,27,41,,
111,2024-07-20 15:27:42,18.223,2024,07,20,15,27,42,,
111,2024-07-20 15:27:43,18.223,2024,07,20,15,27,43,,
111,2024-07-20 15:27:44,18.223,2024,07,20,15,27,44,,
111,2024-07-20 15:27:45,18.223,2024,07,20,15,27,45,,
111,2024-07-20 15:27:46,18.224,2024,07,20,15,27,46,,
111,2024-07-20 15:27:47,18.224,2024,07,20,15,27,47,,
111,2024-07-20 15:27:48,18.223,2024,07,20,15,27,48,,
111,2024-07-20 15:27:49,18.224,2024,07,20,15,27,49,,
111,2024-07-20 15:27:50,18.224,2024,07,20,15,27,50,,
111,2024-07-20 15:27:51,18.223,2024,07,20,15,27,51,,
111,2024-07-20 15:27:52,18.224,2024,07,20,15,27,52,,
111,2024-07-20 15:27:53,18.223,2024,07,20,15,27,53,,
111,2024-07-20 15:27:54,18.224,2024,07,20,15,27,54,,
111,2024-07-20 15:27:55,18.224,2024,07,20,15,27,55,,
111,2024-07-20 15:27:56,18.224,2024,07,20,15,27,56,,
111,2024-07-20 15:27:57,18.223,2024,07,20,15,27,57,,
111,2024-07-20 15:27:58,18.224,2024,07,20,15,27,58,,
111,2024-07-20 15:27:59,18.224,2024,07,20,15,27,59,,
111,2024-07-20 15:28:00,18.224,2024,07,20,15,28,0,,
111,2024-07-20 15:28:01,18.224,2024,07,20,15,28,1,,
111,2024-07-20 15:28:02,18.224,2024,07,20,15,28,2,,
111,2024-07-20 15:28:03,18.224,2024,07,20,15,28,3,,
111,2024-07-20 15:28:04,18.224,2024,07,20,15,28,4,,
111,2024-07-20 15:28:05,18.223,2024,07,20,15,28,5,,
111,2024-07-20 15:28:06,18.224,2024,07,20,15,28,6,,
111,2024-07-20 15:28:07,18.224,2024,07,20,15,28,7,,
111,2024-07-20 15:28:08,18.224,2024,07,20,15,28,8,,
111,2024-07-20 15:28:09,18.224,2024,07,20,15,28,9,,
111,2024-07-20 15:28:10,18.224,2024,07,20,15,28,10,,
111,2024-07-20 15:28:11,18.224,2024,07,20,15,28,11,,
111,2024-07-20 15:28:12,18.224,2024,07,20,15,28,12,,
111,2024-07-20 15:28:13,18.224,2024,07,20,15,28,13,,
111,2024-07-20 15:28:14,18.224,2024,07,20,15,28,14,,
111,2024-07-20 15:28:15,18.224,2024,07,20,15,28,15,,
111,2024-07-20 15:28:16,18.225,2024,07,20,15,28,16,,
111,2024-07-20 15:28:17,18.224,2024,07,20,15,28,17,,
111,2024-07-20 15:28:18,18.225,2024,07,20,15,28,18,,
111,2024-07-20 15:28:19,18.225,2024,07,20,15,28,19,,
111,2024-07-20 15:28:20,18.225,2024,07,20,15,28,20,,
111,2024-07-20 15:28:21,18.224,2024,07,20,15,28,21,,
111,2024-07-20 15:28:22,18.225,2024,07,20,15,28,22,,
111,2024-07-20 15:28:23,18.225,2024,07,20,15,28,23,,
111,2024-07-20 15:28:24,18.225,2024,07,20,15,28,24,,
111,2024-07-20 15:28:25,18.224,2024,07,20,15,28,25,,
111,2024-07-20 15:28:26,18.225,2024,07,20,15,28,26,,
111,2024-07-20 15:28:27,18.225,2024,07,20,15,28,27,,
111,2024-07-20 15:28:28,18.225,2024,07,20,15,28,28,,
111,2024-07-20 15:28:29,18.225,2024,07,20,15,28,29,,
111,2024-07-20 15:28:30,18.225,2024,07,20,15,28,30,,
111,2024-07-20 15:28:31,18.225,2024,07,20,15,28,31,,
111,2024-07-20 15:28:32,18.225,2024,07,20,15,28,32,,
111,2024-07-20 15:28:33,18.225,2024,07,20,15,28,33,,
111,2024-07-20 15:28:34,18.225,2024,07,20,15,28,34,,
111,2024-07-20 15:28:35,18.224,2024,07,20,15,28,35,,
111,2024-07-20 15:28:36,18.225,2024,07,20,15,28,36,,
111,2024-07-20 15:28:37,18.225,2024,07,20,15,28,37,,
111,2024-07-20 15:28:38,18.225,2024,07,20,15,28,38,,
111,2024-07-20 15:28:39,18.225,2024,07,20,15,28,39,,
111,2024-07-20 15:28:40,18.226,2024,07,20,15,28,40,,
111,2024-07-20 15:28:41,18.225,2024,07,20,15,28,41,,
111,2024-07-20 15:28:42,18.225,2024,07,20,15,28,42,,
111,2024-07-20 15:28:43,18.225,2024,07,20,15,28,43,,
111,2024-07-20 15:28:44,18.225,2024,07,20,15,28,44,,
111,2024-07-20 15:28:45,18.226,2024,07,20,15,28,45,,
111,2024-07-20 15:28:46,18.226,2024,07,20,15,28,46,,
111,2024-07-20 15:28:47,18.226,2024,07,20,15,28,47,,
111,2024-07-20 15:28:48,18.226,2024,07,20,15,28,48,,
111,2024-07-20 15:28:49,18.226,2024,07,20,15,28,49,,
111,2024-07-20 15:28:50,18.226,2024,07,20,15,28,50,,
111,2024-07-20 15:28:51,18.225,2024,07,20,15,28,51,,
111,2024-07-20 15:28:52,18.225,2024,07,20,15,28,52,,
111,2024-07-20 15:28:53,18.226,2024,07,20,15,28,53,,
111,2024-07-20 15:28:54,18.226,2024,07,20,15,28,54,,
111,2024-07-20 15:28:55,18.226,2024,07,20,15,28,55,,
111,2024-07-20 15:28:56,18.225,2024,07,20,15,28,56,,
111,2024-07-20 15:28:57,18.226,2024,07,20,15,28,57,,
111,2024-07-20 15:28:58,18.226,2024,07,20,15,28,58,,
111,2024-07-20 15:28:59,18.226,2024,07,20,15,28,59,,
111,2024-07-20 15:29:00,18.226,2024,07,20,15,29,0,,
111,2024-07-20 15:29:01,18.226,2024,07,20,15,29,1,,
111,2024-07-20 15:29:02,18.226,2024,07,20,15,29,2,,
111,2024-07-20 15:29:03,18.225,2024,07,20,15,29,3,,
111,2024-07-20 15:29:04,18.226,2024,07,20,15,29,4,,
111,2024-07-20 15:29:05,18.226,2024,07,20,15,29,5,,
111,2024-07-20 15:29:06,18.226,2024,07,20,15,29,6,,
111,2024-07-20 15:29:07,18.226,2024,07,20,15,29,7,,
111,2024-07-20 15:29:08,18.226,2024,07,20,15,29,8,,
111,2024-07-20 15:29:09,18.226,2024,07,20,15,29,9,,
111,2024-07-20 15:29:10,18.226,2024,07,20,15,29,10,,
111,2024-07-20 15:29:11,18.226,2024,07,20,15,29,11,,
111,2024-07-20 15:29:12,18.226,2024,07,20,15,29,12,,
111,2024-07-20 15:29:13,18.226,2024,07,20,15,29,13,,
111,2024-07-20 15:29:14,18.227,2024,07,20,15,29,14,,
111,2024-07-20 15:29:15,18.226,2024,07,20,15,29,15,,
111,2024-07-20 15:29:16,18.226,2024,07,20,15,29,16,,
111,2024-07-20 15:29:17,18.226,2024,07,20,15,29,17,,
111,2024-07-20 15:29:18,18.226,2024,07,20,15,29,18,,
111,2024-07-20 15:29:19,18.226,2024,07,20,15,29,19,,
111,2024-07-20 15:29:20,18.226,2024,07,20,15,29,20,,
111,2024-07-20 15:29:21,18.226,2024,07,20,15,29,21,,
111,2024-07-20 15:29:22,18.226,2024,07,20,15,29,22,,
111,2024-07-20 15:29:23,18.226,2024,07,20,15,29,23,,
111,2024-07-20 15:29:24,18.227,2024,07,20,15,29,24,,
111,2024-07-20 15:29:25,18.227,2024,07,20,15,29,25,,
111,2024-07-20 15:29:26,18.227,2024,07,20,15,29,26,,
111,2024-07-20 15:29:27,18.227,2024,07,20,15,29,27,,
111,2024-07-20 15:29:28,18.227,2024,07,20,15,29,28,,
111,2024-07-20 15:29:29,18.227,2024,07,20,15,29,29,,
111,2024-07-20 15:29:30,18.227,2024,07,20,15,29,30,,
111,2024-07-20 15:29:31,18.227,2024,07,20,15,29,31,,
111,2024-07-20 15:29:32,18.226,2024,07,20,15,29,32,,
111,2024-07-20 15:29:33,18.226,2024,07,20,15,29,33,,
111,2024-07-20 15:29:34,18.227,2024,07,20,15,29,34,,
111,2024-07-20 15:29:35,18.226,2024,07,20,15,29,35,,
111,2024-07-20 15:29:36,18.227,2024,07,20,15,29,36,,
111,2024-07-20 15:29:37,18.226,2024,07,20,15,29,37,,
111,2024-07-20 15:29:38,18.226,2024,07,20,15,29,38,,
111,2024-07-20 15:29:39,18.227,2024,07,20,15,29,39,,
111,2024-07-20 15:29:40,18.227,2024,07,20,15,29,40,,
111,2024-07-20 15:29:41,18.226,2024,07,20,15,29,41,,
111,2024-07-20 15:29:42,18.227,2024,07,20,15,29,42,,
111,2024-07-20 15:29:43,18.227,2024,07,20,15,29,43,,
111,2024-07-20 15:29:44,18.227,2024,07,20,15,29,44,,
111,2024-07-20 15:29:45,18.227,2024,07,20,15,29,45,,
111,2024-07-20 15:29:46,18.227,2024,07,20,15,29,46,,
111,2024-07-20 15:29:47,18.227,2024,07,20,15,29,47,,
111,2024-07-20 15:29:48,18.227,2024,07,20,15,29,48,,
111,2024-07-20 15:29:49,18.227,2024,07,20,15,29,49,,
111,2024-07-20 15:29:50,18.227,2024,07,20,15,29,50,,
111,2024-07-20 15:29:51,18.227,2024,07,20,15,29,51,,
111,2024-07-20 15:29:52,18.227,2024,07,20,15,29,52,,
111,2024-07-20 15:29:53,18.227,2024,07,20,15,29,53,,
111,2024-07-20 15:29:54,18.227,2024,07,20,15,29,54,,
111,2024-07-20 15:29:55,18.227,2024,07,20,15,29,55,,
111,2024-07-20 15:29:56,18.227,2024,07,20,15,29,56,,
111,2024-07-20 15:29:57,18.227,2024,07,20,15,29,57,,
111,2024-07-20 15:29:58,18.227,2024,07,20,15,29,58,,
111,2024-07-20 15:29:59,18.227,2024,07,20,15,29,59,,
111,2024-07-20 15:30:00,18.227,2024,07,20,15,30,0,,
111,2024-07-20 15:30:01,18.228,2024,07,20,15,30,1,,
111,2024-07-20 15:30:02,18.227,2024,07,20,15,30,2,,
111,2024-07-20 15:30:03,18.228,2024,07,20,15,30,3,,
111,2024-07-20 15:30:04,18.227,2024,07,20,15,30,4,,
111,2024-07-20 15:30:05,18.227,2024,07,20,15,30,5,,
111,2024-07-20 15:30:06,18.227,2024,07,20,15,30,6,,
111,2024-07-20 15:30:07,18.227,2024,07,20,15,30,7,,
111,2024-07-20 15:30:08,18.228,2024,07,20,15,30,8,,
111,2024-07-20 15:30:09,18.228,2024,07,20,15,30,9,,
111,2024-07-20 15:30:10,18.228,2024,07,20,15,30,10,,
111,2024-07-20 15:30:11,18.228,2024,07,20,15,30,11,,
111,2024-07-20 15:30:12,18.228,2024,07,20,15,30,12,,
111,2024-07-20 15:30:13,18.228,2024,07,20,15,30,13,,
111,2024-07-20 15:30:14,18.228,2024,07,20,15,30,14,,
111,2024-07-20 15:30:15,18.228,2024,07,20,15,30,15,,
111,2024-07-20 15:30:16,18.228,2024,07,20,15,30,16,,
111,2024-07-20 15:30:17,18.228,2024,07,20,15,30,17,,
111,2024-07-20 15:30:18,18.228,2024,07,20,15,30,18,,
111,2024-07-20 15:30:19,18.228,2024,07,20,15,30,19,,
111,2024-07-20 15:30:20,18.228,2024,07,20,15,30,20,,
111,2024-07-20 15:30:21,18.228,2024,07,20,15,30,21,,
111,2024-07-20 15:30:22,18.229,2024,07,20,15,30,22,,
111,2024-07-20 15:30:23,18.228,2024,07,20,15,30,23,,
111,2024-07-20 15:30:24,18.228,2024,07,20,15,30,24,,
111,2024-07-20 15:30:25,18.228,2024,07,20,15,30,25,,
111,2024-07-20 15:30:26,18.228,2024,07,20,15,30,26,,
111,2024-07-20 15:30:27,18.229,2024,07,20,15,30,27,,
111,2024-07-20 15:30:28,18.228,2024,07,20,15,30,28,,
111,2024-07-20 15:30:29,18.228,2024,07,20,15,30,29,,
111,2024-07-20 15:30:30,18.228,2024,07,20,15,30,30,,
111,2024-07-20 15:30:31,18.228,2024,07,20,15,30,31,,
111,2024-07-20 15:30:32,18.228,2024,07,20,15,30,32,,
111,2024-07-20 15:30:33,18.228,2024,07,20,15,30,33,,
111,2024-07-20 15:30:34,18.229,2024,07,20,15,30,34,,
111,2024-07-20 15:30:35,18.229,2024,07,20,15,30,35,,
111,2024-07-20 15:30:36,18.228,2024,07,20,15,30,36,,
111,2024-07-20 15:30:37,18.228,2024,07,20,15,30,37,,
111,2024-07-20 15:30:38,18.229,2024,07,20,15,30,38,,
111,2024-07-20 15:30:39,18.228,2024,07,20,15,30,39,,
111,2024-07-20 15:30:40,18.228,2024,07,20,15,30,40,,
111,2024-07-20 15:30:41,18.229,2024,07,20,15,30,41,,
111,2024-07-20 15:30:42,18.228,2024,07,20,15,30,42,,
111,2024-07-20 15:30:43,18.228,2024,07,20,15,30,43,,
111,2024-07-20 15:30:44,18.229,2024,07,20,15,30,44,,
111,2024-07-20 15:30:45,18.228,2024,07,20,15,30,45,,
111,2024-07-20 15:30:46,18.228,2024,07,20,15,30,46,,
111,2024-07-20 15:30:47,18.228,2024,07,20,15,30,47,,
111,2024-07-20 15:30:48,18.228,2024,07,20,15,30,48,,
111,2024-07-20 15:30:49,18.229,2024,07,20,15,30,49,,
111,2024-07-20 15:30:50,18.228,2024,07,20,15,30,50,,
111,2024-07-20 15:30:51,18.229,2024,07,20,15,30,51,,
111,2024-07-20 15:30:52,18.228,2024,07,20,15,30,52,,
111,2024-07-20 15:30:53,18.229,2024,07,20,15,30,53,,
111,2024-07-20 15:30:54,18.229,2024,07,20,15,30,54,,
111,2024-07-20 15:30:55,18.229,2024,07,20,15,30,55,,
111,2024-07-20 15:30:56,18.229,2024,07,20,15,30,56,,
