Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity
111,2024-08-19 18:13:01,0.002,2024,08,19,18,13,1,0 days 00:47:40,4.131111111111111
111,2024-08-19 18:13:02,5.209,2024,08,19,18,13,2,,
111,2024-08-19 18:13:03,5.208,2024,08,19,18,13,3,,
111,2024-08-19 18:13:04,5.208,2024,08,19,18,13,4,,
111,2024-08-19 18:13:05,5.209,2024,08,19,18,13,5,,
111,2024-08-19 18:13:06,5.208,2024,08,19,18,13,6,,
111,2024-08-19 18:13:07,5.208,2024,08,19,18,13,7,,
111,2024-08-19 18:13:08,5.208,2024,08,19,18,13,8,,
111,2024-08-19 18:13:09,5.208,2024,08,19,18,13,9,,
111,2024-08-19 18:13:10,5.208,2024,08,19,18,13,10,,
111,2024-08-19 18:13:11,5.208,2024,08,19,18,13,11,,
111,2024-08-19 18:13:12,5.208,2024,08,19,18,13,12,,
111,2024-08-19 18:13:13,5.208,2024,08,19,18,13,13,,
111,2024-08-19 18:13:14,5.209,2024,08,19,18,13,14,,
111,2024-08-19 18:13:15,5.208,2024,08,19,18,13,15,,
111,2024-08-19 18:13:16,5.208,2024,08,19,18,13,16,,
111,2024-08-19 18:13:17,5.208,2024,08,19,18,13,17,,
111,2024-08-19 18:13:18,5.208,2024,08,19,18,13,18,,
111,2024-08-19 18:13:19,5.208,2024,08,19,18,13,19,,
111,2024-08-19 18:13:20,5.208,2024,08,19,18,13,20,,
111,2024-08-19 18:13:21,5.208,2024,08,19,18,13,21,,
111,2024-08-19 18:13:22,5.208,2024,08,19,18,13,22,,
111,2024-08-19 18:13:23,5.208,2024,08,19,18,13,23,,
111,2024-08-19 18:13:24,5.208,2024,08,19,18,13,24,,
111,2024-08-19 18:13:25,5.208,2024,08,19,18,13,25,,
111,2024-08-19 18:13:26,5.208,2024,08,19,18,13,26,,
111,2024-08-19 18:13:27,5.208,2024,08,19,18,13,27,,
111,2024-08-19 18:13:28,5.208,2024,08,19,18,13,28,,
111,2024-08-19 18:13:29,5.208,2024,08,19,18,13,29,,
111,2024-08-19 18:13:30,5.208,2024,08,19,18,13,30,,
111,2024-08-19 18:13:31,5.208,2024,08,19,18,13,31,,
111,2024-08-19 18:13:32,5.208,2024,08,19,18,13,32,,
111,2024-08-19 18:13:33,5.208,2024,08,19,18,13,33,,
111,2024-08-19 18:13:34,5.208,2024,08,19,18,13,34,,
111,2024-08-19 18:13:35,5.208,2024,08,19,18,13,35,,
111,2024-08-19 18:13:36,5.208,2024,08,19,18,13,36,,
111,2024-08-19 18:13:37,5.208,2024,08,19,18,13,37,,
111,2024-08-19 18:13:38,5.208,2024,08,19,18,13,38,,
111,2024-08-19 18:13:39,5.208,2024,08,19,18,13,39,,
111,2024-08-19 18:13:40,5.208,2024,08,19,18,13,40,,
111,2024-08-19 18:13:41,5.208,2024,08,19,18,13,41,,
111,2024-08-19 18:13:42,5.208,2024,08,19,18,13,42,,
111,2024-08-19 18:13:43,5.208,2024,08,19,18,13,43,,
111,2024-08-19 18:13:44,5.208,2024,08,19,18,13,44,,
111,2024-08-19 18:13:45,5.208,2024,08,19,18,13,45,,
111,2024-08-19 18:13:46,5.208,2024,08,19,18,13,46,,
111,2024-08-19 18:13:47,5.208,2024,08,19,18,13,47,,
111,2024-08-19 18:13:48,5.208,2024,08,19,18,13,48,,
111,2024-08-19 18:13:49,5.208,2024,08,19,18,13,49,,
111,2024-08-19 18:13:50,5.209,2024,08,19,18,13,50,,
111,2024-08-19 18:13:51,5.208,2024,08,19,18,13,51,,
111,2024-08-19 18:13:52,5.208,2024,08,19,18,13,52,,
111,2024-08-19 18:13:53,5.209,2024,08,19,18,13,53,,
111,2024-08-19 18:13:54,5.208,2024,08,19,18,13,54,,
111,2024-08-19 18:13:55,5.208,2024,08,19,18,13,55,,
111,2024-08-19 18:13:56,5.209,2024,08,19,18,13,56,,
111,2024-08-19 18:13:57,5.208,2024,08,19,18,13,57,,
111,2024-08-19 18:13:58,5.208,2024,08,19,18,13,58,,
111,2024-08-19 18:13:59,5.208,2024,08,19,18,13,59,,
111,2024-08-19 18:14:00,5.208,2024,08,19,18,14,0,,
111,2024-08-19 18:14:01,5.208,2024,08,19,18,14,1,,
111,2024-08-19 18:14:02,5.208,2024,08,19,18,14,2,,
111,2024-08-19 18:14:03,5.208,2024,08,19,18,14,3,,
111,2024-08-19 18:14:04,5.208,2024,08,19,18,14,4,,
111,2024-08-19 18:14:05,5.208,2024,08,19,18,14,5,,
111,2024-08-19 18:14:06,5.208,2024,08,19,18,14,6,,
