Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity
111,2024-06-21 09:45:27,0.002,2024,06,21,09,45,27,0 days 00:07:39,1.9889999999999999
111,2024-06-21 09:45:28,15.626999999999999,2024,06,21,09,45,28,,
111,2024-06-21 09:45:29,15.628,2024,06,21,09,45,29,,
111,2024-06-21 09:45:30,15.626000000000001,2024,06,21,09,45,30,,
111,2024-06-21 09:45:31,15.626000000000001,2024,06,21,09,45,31,,
111,2024-06-21 09:45:32,15.626000000000001,2024,06,21,09,45,32,,
111,2024-06-21 09:45:33,15.626000000000001,2024,06,21,09,45,33,,
111,2024-06-21 09:45:34,15.626999999999999,2024,06,21,09,45,34,,
111,2024-06-21 09:45:35,15.626000000000001,2024,06,21,09,45,35,,
111,2024-06-21 09:45:36,15.626000000000001,2024,06,21,09,45,36,,
111,2024-06-21 09:45:37,15.626000000000001,2024,06,21,09,45,37,,
111,2024-06-21 09:45:38,15.626000000000001,2024,06,21,09,45,38,,
111,2024-06-21 09:45:39,15.626000000000001,2024,06,21,09,45,39,,
111,2024-06-21 09:45:40,15.626000000000001,2024,06,21,09,45,40,,
111,2024-06-21 09:45:41,15.626000000000001,2024,06,21,09,45,41,,
111,2024-06-21 09:45:42,15.626000000000001,2024,06,21,09,45,42,,
111,2024-06-21 09:45:43,15.626000000000001,2024,06,21,09,45,43,,
111,2024-06-21 09:45:44,15.626000000000001,2024,06,21,09,45,44,,
111,2024-06-21 09:45:45,15.626000000000001,2024,06,21,09,45,45,,
111,2024-06-21 09:45:46,15.626000000000001,2024,06,21,09,45,46,,
111,2024-06-21 09:45:47,15.625,2024,06,21,09,45,47,,
111,2024-06-21 09:45:48,15.626000000000001,2024,06,21,09,45,48,,
111,2024-06-21 09:45:49,15.626000000000001,2024,06,21,09,45,49,,
111,2024-06-21 09:45:50,15.626000000000001,2024,06,21,09,45,50,,
111,2024-06-21 09:45:51,15.626000000000001,2024,06,21,09,45,51,,
111,2024-06-21 09:45:52,15.626000000000001,2024,06,21,09,45,52,,
111,2024-06-21 09:45:53,15.626000000000001,2024,06,21,09,45,53,,
111,2024-06-21 09:45:54,15.626000000000001,2024,06,21,09,45,54,,
111,2024-06-21 09:45:55,15.626000000000001,2024,06,21,09,45,55,,
111,2024-06-21 09:45:56,15.626000000000001,2024,06,21,09,45,56,,
111,2024-06-21 09:45:57,15.626000000000001,2024,06,21,09,45,57,,
111,2024-06-21 09:45:58,15.626000000000001,2024,06,21,09,45,58,,
111,2024-06-21 09:45:59,15.626000000000001,2024,06,21,09,45,59,,
111,2024-06-21 09:46:00,15.626000000000001,2024,06,21,09,46,0,,
111,2024-06-21 09:46:01,15.626000000000001,2024,06,21,09,46,1,,
111,2024-06-21 09:46:02,15.626999999999999,2024,06,21,09,46,2,,
111,2024-06-21 09:46:03,15.626000000000001,2024,06,21,09,46,3,,
111,2024-06-21 09:46:04,15.626000000000001,2024,06,21,09,46,4,,
111,2024-06-21 09:46:05,15.626000000000001,2024,06,21,09,46,5,,
111,2024-06-21 09:46:06,15.626000000000001,2024,06,21,09,46,6,,
111,2024-06-21 09:46:07,15.626000000000001,2024,06,21,09,46,7,,
111,2024-06-21 09:46:08,15.626000000000001,2024,06,21,09,46,8,,
111,2024-06-21 09:46:09,15.626999999999999,2024,06,21,09,46,9,,
111,2024-06-21 09:46:10,15.626999999999999,2024,06,21,09,46,10,,
111,2024-06-21 09:46:11,15.626000000000001,2024,06,21,09,46,11,,
111,2024-06-21 09:46:12,15.626000000000001,2024,06,21,09,46,12,,
111,2024-06-21 09:46:13,15.626000000000001,2024,06,21,09,46,13,,
111,2024-06-21 09:46:14,15.626999999999999,2024,06,21,09,46,14,,
111,2024-06-21 09:46:15,15.626000000000001,2024,06,21,09,46,15,,
111,2024-06-21 09:46:16,15.626999999999999,2024,06,21,09,46,16,,
111,2024-06-21 09:46:17,15.626000000000001,2024,06,21,09,46,17,,
111,2024-06-21 09:46:18,15.626999999999999,2024,06,21,09,46,18,,
111,2024-06-21 09:46:19,15.626000000000001,2024,06,21,09,46,19,,
111,2024-06-21 09:46:20,15.626000000000001,2024,06,21,09,46,20,,
111,2024-06-21 09:46:21,15.626999999999999,2024,06,21,09,46,21,,
111,2024-06-21 09:46:22,15.626000000000001,2024,06,21,09,46,22,,
111,2024-06-21 09:46:23,15.626999999999999,2024,06,21,09,46,23,,
111,2024-06-21 09:46:24,15.626999999999999,2024,06,21,09,46,24,,
111,2024-06-21 09:46:25,15.626999999999999,2024,06,21,09,46,25,,
111,2024-06-21 09:46:26,15.626999999999999,2024,06,21,09,46,26,,
