Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,TimeDelta,Capacity
111,2024-06-19 11:48:11,0.007,2024,6,19,11,48,11,0 days 01:47:26,0.0,0.0
111,2024-06-19 11:48:12,5.23,2024,6,19,11,48,12,,1.0,0.001453
111,2024-06-19 11:48:13,5.231000000000001,2024,6,19,11,48,13,,1.0,0.002906
111,2024-06-19 11:48:14,5.231999999999999,2024,6,19,11,48,14,,1.0,0.004359
111,2024-06-19 11:48:15,5.231999999999999,2024,6,19,11,48,15,,1.0,0.005812
111,2024-06-19 11:48:16,5.231999999999999,2024,6,19,11,48,16,,1.0,0.007266
111,2024-06-19 11:48:17,5.231999999999999,2024,6,19,11,48,17,,1.0,0.008719
111,2024-06-19 11:48:18,5.231999999999999,2024,6,19,11,48,18,,1.0,0.010172
111,2024-06-19 11:48:19,5.233,2024,6,19,11,48,19,,1.0,0.011626
111,2024-06-19 11:48:20,5.233,2024,6,19,11,48,20,,1.0,0.01308
111,2024-06-19 11:48:21,5.231999999999999,2024,6,19,11,48,21,,1.0,0.014533
111,2024-06-19 11:48:22,5.233,2024,6,19,11,48,22,,1.0,0.015987
111,2024-06-19 11:48:23,5.233,2024,6,19,11,48,23,,1.0,0.01744
111,2024-06-19 11:48:24,5.233,2024,6,19,11,48,24,,1.0,0.018894
111,2024-06-19 11:48:25,5.233,2024,6,19,11,48,25,,1.0,0.020347
111,2024-06-19 11:48:26,5.233,2024,6,19,11,48,26,,1.0,0.021801
111,2024-06-19 11:48:27,5.233,2024,6,19,11,48,27,,1.0,0.023255
111,2024-06-19 11:48:28,5.233,2024,6,19,11,48,28,,1.0,0.024708
111,2024-06-19 11:48:29,5.233,2024,6,19,11,48,29,,1.0,0.026162
111,2024-06-19 11:48:30,5.233,2024,6,19,11,48,30,,1.0,0.027616
111,2024-06-19 11:48:31,5.233,2024,6,19,11,48,31,,1.0,0.029069
111,2024-06-19 11:48:32,5.233,2024,6,19,11,48,32,,1.0,0.030523
111,2024-06-19 11:48:33,5.233,2024,6,19,11,48,33,,1.0,0.031976
111,2024-06-19 11:48:34,5.233,2024,6,19,11,48,34,,1.0,0.03343
111,2024-06-19 11:48:35,5.233,2024,6,19,11,48,35,,1.0,0.034884
111,2024-06-19 11:48:36,5.233,2024,6,19,11,48,36,,1.0,0.036337
111,2024-06-19 11:48:37,5.233,2024,6,19,11,48,37,,1.0,0.037791
111,2024-06-19 11:48:38,5.233,2024,6,19,11,48,38,,1.0,0.039244
111,2024-06-19 11:48:39,5.233,2024,6,19,11,48,39,,1.0,0.040698
111,2024-06-19 11:48:40,5.233,2024,6,19,11,48,40,,1.0,0.042152
111,2024-06-19 11:48:41,5.233,2024,6,19,11,48,41,,1.0,0.043605
111,2024-06-19 11:48:42,5.233,2024,6,19,11,48,42,,1.0,0.045059
111,2024-06-19 11:48:43,5.233,2024,6,19,11,48,43,,1.0,0.046513
111,2024-06-19 11:48:44,5.233,2024,6,19,11,48,44,,1.0,0.047966
111,2024-06-19 11:48:45,5.233,2024,6,19,11,48,45,,1.0,0.04942
111,2024-06-19 11:48:46,5.233,2024,6,19,11,48,46,,1.0,0.050873
111,2024-06-19 11:48:47,5.233,2024,6,19,11,48,47,,1.0,0.052327
111,2024-06-19 11:48:48,5.233,2024,6,19,11,48,48,,1.0,0.053781
111,2024-06-19 11:48:49,5.233,2024,6,19,11,48,49,,1.0,0.055234
111,2024-06-19 11:48:50,5.233,2024,6,19,11,48,50,,1.0,0.056688
111,2024-06-19 11:48:51,5.233,2024,6,19,11,48,51,,1.0,0.058141
111,2024-06-19 11:48:52,5.233,2024,6,19,11,48,52,,1.0,0.059595
111,2024-06-19 11:48:53,5.233,2024,6,19,11,48,53,,1.0,0.061049
111,2024-06-19 11:48:54,5.233,2024,6,19,11,48,54,,1.0,0.062502
111,2024-06-19 11:48:55,5.233,2024,6,19,11,48,55,,1.0,0.063956
111,2024-06-19 11:48:56,5.233,2024,6,19,11,48,56,,1.0,0.065409
111,2024-06-19 11:48:57,5.233,2024,6,19,11,48,57,,1.0,0.066863
111,2024-06-19 11:48:58,5.231999999999999,2024,6,19,11,48,58,,1.0,0.068316
111,2024-06-19 11:48:59,5.233,2024,6,19,11,48,59,,1.0,0.06977
111,2024-06-19 11:49:00,5.233,2024,6,19,11,49,0,,1.0,0.071224
111,2024-06-19 11:49:01,5.233,2024,6,19,11,49,1,,1.0,0.072677
111,2024-06-19 11:49:02,5.233,2024,6,19,11,49,2,,1.0,0.074131
111,2024-06-19 11:49:03,5.231999999999999,2024,6,19,11,49,3,,1.0,0.075584
111,2024-06-19 11:49:04,5.233,2024,6,19,11,49,4,,1.0,0.077038
