Frequency (Hz),Zreal,Zimag
0.001,2023.57,-5.73839
0.008,2021.98,-50.0943
0.06,1954.29,-351.728
0.464,716.988,-944.125
3.594,27.2314,-196.334
27.826,1.86126,-27.1787
215.44,0.505398,-3.75702
1668.1,0.32706,-0.521079
12915.0,0.299249,-0.0704618
100000.0,0.285636,0.0328031
