Frequency (Hz),Zreal,Zimag
0.001,9.9e+37,9.9e+37
0.008,9.9e+37,9.9e+37
0.06,9.9e+37,9.9e+37
0.464,9.9e+37,9.9e+37
3.594,-37.7584,188.977
27.826,-1.75936,27.1694
215.44,-0.512343,3.75687
1668.1,-0.336087,0.519249
12915.0,-0.308989,0.0710599
100000.0,-0.30529,-0.0212529
