Frequency (Hz),Zreal,Zimag
0.001,9.9e+37,9.9e+37
0.008,9.9e+37,9.9e+37
0.06,9.9e+37,9.9e+37
0.464,9.9e+37,9.9e+37
3.594,-38.1806,199.019
27.826,-1.93195,27.0621
215.44,-0.522338,3.75674
1668.1,-0.339293,0.519181
12915.0,-0.310935,0.0695432
100000.0,-0.309081,-0.0164446
