Channel,Timestamp,Temperature,Year,Month,Day,Hour,Minute,Second,Total_time
102,2024-08-19 18:13:01,26.2615,2024,08,19,18,13,1,0 days 00:47:40
102,2024-08-19 18:13:02,26.2812,2024,08,19,18,13,2,
102,2024-08-19 18:13:03,26.2837,2024,08,19,18,13,3,
102,2024-08-19 18:13:04,26.2727,2024,08,19,18,13,4,
102,2024-08-19 18:13:05,26.2812,2024,08,19,18,13,5,
102,2024-08-19 18:13:06,26.2898,2024,08,19,18,13,6,
102,2024-08-19 18:13:07,26.2939,2024,08,19,18,13,7,
102,2024-08-19 18:13:08,26.3135,2024,08,19,18,13,8,
102,2024-08-19 18:13:09,26.3008,2024,08,19,18,13,9,
102,2024-08-19 18:13:10,26.3117,2024,08,19,18,13,10,
102,2024-08-19 18:13:11,26.3132,2024,08,19,18,13,11,
102,2024-08-19 18:13:12,26.3114,2024,08,19,18,13,12,
102,2024-08-19 18:13:13,26.3191,2024,08,19,18,13,13,
102,2024-08-19 18:13:14,26.3423,2024,08,19,18,13,14,
102,2024-08-19 18:13:15,26.333,2024,08,19,18,13,15,
102,2024-08-19 18:13:16,26.3289,2024,08,19,18,13,16,
102,2024-08-19 18:13:17,26.3311,2024,08,19,18,13,17,
102,2024-08-19 18:13:18,26.3334,2024,08,19,18,13,18,
102,2024-08-19 18:13:19,26.3315,2024,08,19,18,13,19,
102,2024-08-19 18:13:20,26.338,2024,08,19,18,13,20,
102,2024-08-19 18:13:21,26.349,2024,08,19,18,13,21,
102,2024-08-19 18:13:22,26.3592,2024,08,19,18,13,22,
102,2024-08-19 18:13:23,26.3613,2024,08,19,18,13,23,
102,2024-08-19 18:13:24,26.3608,2024,08,19,18,13,24,
102,2024-08-19 18:13:25,26.3554,2024,08,19,18,13,25,
102,2024-08-19 18:13:26,26.371,2024,08,19,18,13,26,
102,2024-08-19 18:13:27,26.3673,2024,08,19,18,13,27,
102,2024-08-19 18:13:28,26.3685,2024,08,19,18,13,28,
102,2024-08-19 18:13:29,26.3637,2024,08,19,18,13,29,
102,2024-08-19 18:13:30,26.3734,2024,08,19,18,13,30,
102,2024-08-19 18:13:31,26.3748,2024,08,19,18,13,31,
102,2024-08-19 18:13:32,26.3753,2024,08,19,18,13,32,
102,2024-08-19 18:13:33,26.3781,2024,08,19,18,13,33,
102,2024-08-19 18:13:34,26.3703,2024,08,19,18,13,34,
102,2024-08-19 18:13:35,26.3688,2024,08,19,18,13,35,
102,2024-08-19 18:13:36,26.37,2024,08,19,18,13,36,
102,2024-08-19 18:13:37,26.3689,2024,08,19,18,13,37,
102,2024-08-19 18:13:38,26.387,2024,08,19,18,13,38,
102,2024-08-19 18:13:39,26.3877,2024,08,19,18,13,39,
102,2024-08-19 18:13:40,26.3958,2024,08,19,18,13,40,
102,2024-08-19 18:13:41,26.4032,2024,08,19,18,13,41,
102,2024-08-19 18:13:42,26.3873,2024,08,19,18,13,42,
102,2024-08-19 18:13:43,26.3822,2024,08,19,18,13,43,
102,2024-08-19 18:13:44,26.3917,2024,08,19,18,13,44,
102,2024-08-19 18:13:45,26.39,2024,08,19,18,13,45,
102,2024-08-19 18:13:46,26.3818,2024,08,19,18,13,46,
102,2024-08-19 18:13:47,26.3922,2024,08,19,18,13,47,
102,2024-08-19 18:13:48,26.3984,2024,08,19,18,13,48,
102,2024-08-19 18:13:49,26.3908,2024,08,19,18,13,49,
102,2024-08-19 18:13:50,26.4012,2024,08,19,18,13,50,
